region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Hungary,2020-07-01,1.0960489434106973,1.0785141038268198,0.502791183037181,1.7135153231424405,0.8282971562030045,1.2262145989094368
Hungary,2020-07-02,1.10771807111597,1.087423742807583,0.5374572433438116,1.7851634248238453,0.8219990862130482,1.2073174723372342
Hungary,2020-07-03,1.1023202739796436,1.0954989807625322,0.49437005293591274,1.71942816000647,0.8761658233843292,1.2794075463523085
Hungary,2020-07-04,1.1024906585110188,1.0744333860035535,0.420131758269767,1.605769991511048,0.8711725509602785,1.2400870755162081
Hungary,2020-07-05,1.1123039826010717,1.0902121188738194,0.5484682134844782,1.7048543268579262,0.8673089647913419,1.2531108085070288
Hungary,2020-07-06,1.111557160577812,1.1008687396310441,0.5905542656487177,1.6960087955190932,0.9135529866159838,1.2813562590929153
Hungary,2020-07-07,1.1274884199323918,1.1012416283206303,0.5855085498432058,1.7168336821843906,0.8913964941145107,1.2623871078381022
Hungary,2020-07-08,1.1126485252229947,1.0889976808492332,0.6079876259303139,1.7541792831757794,0.8970624172495771,1.2782562833413702
Hungary,2020-07-09,1.1271438065080417,1.097064215526335,0.484686051314168,1.643805603623512,0.887908735060858,1.2532506840496374
Hungary,2020-07-10,1.1274497873353169,1.1021113055043608,0.5838699342994518,1.693509993756573,0.8708300646407263,1.2402422941425166
Hungary,2020-07-11,1.146841044090339,1.124110654926335,0.5902385055708075,1.678414240308872,0.9128877985100501,1.2866125679921976
Hungary,2020-07-12,1.1419051953730315,1.1130724970834318,0.6317314469683895,1.695278125282785,0.8960980487475366,1.2683729057993083
Hungary,2020-07-13,1.147810267455259,1.1248430180628888,0.6391062101811504,1.7062755897577562,0.9079222266130959,1.2601590195548324
Hungary,2020-07-14,1.148056508558729,1.1187564299934791,0.6022183231334093,1.6447049397574633,0.8445693076187915,1.198639265573763
Hungary,2020-07-15,1.14988626782825,1.1220770538412006,0.5748669975751419,1.6196371098713391,0.9415576115999114,1.2806059832401888
Hungary,2020-07-16,1.167206372471621,1.1277551291176344,0.6828758950300413,1.6894943341134625,0.9471418183834159,1.2885002437556645
Hungary,2020-07-17,1.1590768386395174,1.120409092014304,0.6318151092057729,1.6593446327838022,0.9423068372618003,1.2965905384022305
Hungary,2020-07-18,1.1560049795541993,1.1096651854847484,0.6409408053232905,1.6653886176974135,0.9144089268527971,1.2356808905343557
Hungary,2020-07-19,1.1393750306439427,1.1091217449376947,0.5671279519130268,1.605897177167337,0.931869273317442,1.2338564574793924
Hungary,2020-07-20,1.1286885890356855,1.108467438853102,0.5778938646276487,1.5993385100497552,0.9686331225226589,1.2849172393631245
Hungary,2020-07-21,1.1529400347335088,1.1206938068271781,0.6056155347301012,1.659405793383858,0.9411036407684658,1.272904440473482
